imu_seq,secs,nsecs,timestamp,imu_frame_id,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,imu_orientation_cov_0,imu_orientation_cov_1,imu_orientation_cov_2,imu_orientation_cov_3,imu_orientation_cov_4,imu_orientation_cov_5,imu_orientation_cov_6,imu_orientation_cov_7,imu_orientation_cov_8,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,imu_angular_vel_cov_0,imu_angular_vel_cov_1,imu_angular_vel_cov_2,imu_angular_vel_cov_3,imu_angular_vel_cov_4,imu_angular_vel_cov_5,imu_angular_vel_cov_6,imu_angular_vel_cov_7,imu_angular_vel_cov_8,imu_linear_acc_x,imu_linear_acc_y,imu_linear_acc_z,imu_linear_acc_cov_0,imu_linear_acc_cov_1,imu_linear_acc_cov_2,imu_linear_acc_cov_3,imu_linear_acc_cov_4,imu_linear_acc_cov_5,imu_linear_acc_cov_6,imu_linear_acc_cov_7,imu_linear_acc_cov_8,map_position_x,map_position_y,map_position_z,map_orientation_x,map_orientation_y,map_orientation_z,map_orientation_w,odom_pose_x,odom_pose_y,odom_pose_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_pose_cov_0,odom_pose_cov_1,odom_pose_cov_2,odom_pose_cov_3,odom_pose_cov_4,odom_pose_cov_5,odom_pose_cov_6,odom_pose_cov_7,odom_pose_cov_8,odom_pose_cov_9,odom_pose_cov_10,odom_pose_cov_11,odom_pose_cov_12,odom_pose_cov_13,odom_pose_cov_14,odom_pose_cov_15,odom_pose_cov_16,odom_pose_cov_17,odom_pose_cov_18,odom_pose_cov_19,odom_pose_cov_20,odom_pose_cov_21,odom_pose_cov_22,odom_pose_cov_23,odom_pose_cov_24,odom_pose_cov_25,odom_pose_cov_26,odom_pose_cov_27,odom_pose_cov_28,odom_pose_cov_29,odom_pose_cov_30,odom_pose_cov_31,odom_pose_cov_32,odom_pose_cov_33,odom_pose_cov_34,odom_pose_cov_35,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z,odom_twist_cov_0,odom_twist_cov_1,odom_twist_cov_2,odom_twist_cov_3,odom_twist_cov_4,odom_twist_cov_5,odom_twist_cov_6,odom_twist_cov_7,odom_twist_cov_8,odom_twist_cov_9,odom_twist_cov_10,odom_twist_cov_11,odom_twist_cov_12,odom_twist_cov_13,odom_twist_cov_14,odom_twist_cov_15,odom_twist_cov_16,odom_twist_cov_17,odom_twist_cov_18,odom_twist_cov_19,odom_twist_cov_20,odom_twist_cov_21,odom_twist_cov_22,odom_twist_cov_23,odom_twist_cov_24,odom_twist_cov_25,odom_twist_cov_26,odom_twist_cov_27,odom_twist_cov_28,odom_twist_cov_29,odom_twist_cov_30,odom_twist_cov_31,odom_twist_cov_32,odom_twist_cov_33,odom_twist_cov_34,odom_twist_cov_35,cmd_vel_linear_x,cmd_vel_linear_y,cmd_vel_linear_z,cmd_vel_angular_x,cmd_vel_angular_y,cmd_vel_angular_z
12,164,900000000,164.9,base_footprint,0.0002956092829170909,0.003842408575584957,-0.07802841395982109,0.9969436870387439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114862144181753e-05,-0.0007949956586276315,-0.01930468073323279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06572897484481892,-0.027370941839991107,-0.015434404340012439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.450377971977103,0.9538806476389783,-0.0010014723676633926,0.0002957874895454708,0.003842208353994429,-0.07803863872388812,0.9969428874368121,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.20670453049250195,1.3967282000808268e-05,0.0,0.0,0.0,-0.020261633362399306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943281
46,164,934000000,164.934,base_footprint,0.0002914122056750627,0.0038464961475625126,-0.07729680769838643,0.9970006635233258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014158956054985614,8.103893094645838e-06,0.059062546905032855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012115479019622576,0.0164212872102494,0.011202241832310415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4434616812478316,0.9527948012866438,-0.0010019210218671706,0.000291192410843438,0.003846452915341245,-0.07726735289859228,0.9970029469279388,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.20579300746166118,-2.283582162928427e-05,0.0,0.0,0.0,0.0593522111108802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943281
79,164,967000000,164.967,base_footprint,0.00028950430197520146,0.0038468322837114126,-0.0763449914236175,0.9970739994369365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005954434292204717,-6.19486010988177e-05,0.05645520516739046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009916382588798182,0.017144830527956376,-0.00041817610243706873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.43675605566205,0.9517553006520334,-0.0010019487255095265,0.00028945013451052264,0.0038468952457981027,-0.07631706901661926,0.9970761368081678,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.20552290505323378,2.6869949733519805e-06,0.0,0.0,0.0,0.056197620291021225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943281
112,165,0,165.0,base_footprint,0.00028171741351065385,0.003840916482281852,-0.07559791768452907,0.9971309456824807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002838325025630593,-0.0006247983692862922,0.03459063170883299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020249843225938743,0.012704091982204303,-0.005809034682329284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4300773982125117,0.9507324609433057,-0.0010011963322405885,0.00028154152797843485,0.0038407740409852993,-0.07558092038845321,0.9971322347925418,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2039831277002504,1.4198246962027206e-06,0.0,0.0,0.0,0.03425448776865699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943281
146,165,34000000,165.034,base_footprint,0.0002844997258860602,0.003840298711461498,-0.07651020217354315,0.9970613622686803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008628252153716634,-0.0008281318739377205,-0.0936411701583982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06765798044559965,-0.044020358684892465,0.01323211769274735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.423024422685775,0.9496540464529741,-0.001001122692500734,0.0002847159648527703,0.003839867054217951,-0.07655639111951486,0.9970578184521605,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.21342746388925765,4.7860250892102496e-05,0.0,0.0,0.0,-0.09248989041851605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,1.4988372640800662e-05,0.0,0.0,0.0,0.0
179,165,67000000,165.067,base_footprint,0.00028903143295506257,0.003838836473460318,-0.07764642393734987,0.9969735265517848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002674131212293075,-0.0001509436256321569,-0.03907745510331152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14827648935538404,-0.05770996648417122,-0.001596534171312832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4160053626181774,0.9485614465747125,-0.001001070980954092,0.00028910946863619936,0.003838822469316068,-0.07766483222493416,0.9969720927354172,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.21744038268595048,1.4988372269111871e-05,0.0,0.0,0.0,-0.03682139488974123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,1.4988372640800662e-05,0.0,0.0,0.0,0.0
212,165,100000000,165.1,base_footprint,0.00029214610378144873,0.0038418705994749543,-0.07781166608964285,0.9969606307679882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793645019947936e-05,-7.252579954630961e-05,-0.00197923003312985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049198449765005875,-0.0019958352259123054,-0.0042201517373081695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.40885141963819,0.9474383566623084,-0.0010014029731133071,0.000292154516045997,0.0038419450973034316,-0.07781258763636081,0.9969605585523139,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2199653037621846,1.1224115648855726e-06,0.0,0.0,0.0,-0.0019447104979747637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,1.4988372640800662e-05,0.0,0.0,0.0,0.0
246,165,134000000,165.134,base_footprint,0.00029209767196831585,0.0038421335975633232,-0.0778233564657982,0.9969597172788707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96775225718936e-05,-0.00016321268078347816,-0.0008098259849325687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012381588309895812,-0.0005697958825586595,-4.580366748977767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.401462685101302,0.9462778240451939,-0.0010014198045373568,0.0002920929887283561,0.0038421371936971076,-0.07782370150436776,0.9969596903323775,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.21999978501928838,2.908364806694652e-07,0.0,0.0,0.0,-0.0008122042245083596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.0,0.0,0.02370398491621017
279,165,167000000,165.167,base_footprint,0.0002919235525173801,0.003842377233053855,-0.07783538479617243,0.9969587773782175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213194903114077e-05,-0.00015517425145881438,-0.0009090708972844538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001266809020033075,-0.0007118677603442316,0.0002127022616057281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.3942900222509875,0.945151058533774,-0.0010014553510578304,0.0002919164019201901,0.0038423885177031564,-0.07783576998446234,0.9969587472640075,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2200445334157687,-2.041957166479258e-07,0.0,0.0,0.0,-0.0009113999574347634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.0,0.0,0.02370398491621017
312,165,200000000,165.2,base_footprint,0.0002917112203982951,0.0038428713791285618,-0.07784879143228364,0.9969577287511543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.759931060286438e-05,-9.959539132369946e-05,-0.0009697221865308165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014689094303712198,-0.0006989405101460005,7.434199163535354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.3871160988913473,0.9440239058356815,-0.0010015226987377633,0.0002917072632213102,0.0038428884014782964,-0.07784922299276065,0.9969576949876209,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.22008788404117813,-8.344592858922084e-07,0.0,0.0,0.0,-0.0009725109900436537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.0,0.0,0.02370398491621017
