imu_seq,secs,nsecs,timestamp,imu_frame_id,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,imu_orientation_cov_0,imu_orientation_cov_1,imu_orientation_cov_2,imu_orientation_cov_3,imu_orientation_cov_4,imu_orientation_cov_5,imu_orientation_cov_6,imu_orientation_cov_7,imu_orientation_cov_8,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,imu_angular_vel_cov_0,imu_angular_vel_cov_1,imu_angular_vel_cov_2,imu_angular_vel_cov_3,imu_angular_vel_cov_4,imu_angular_vel_cov_5,imu_angular_vel_cov_6,imu_angular_vel_cov_7,imu_angular_vel_cov_8,imu_linear_acc_x,imu_linear_acc_y,imu_linear_acc_z,imu_linear_acc_cov_0,imu_linear_acc_cov_1,imu_linear_acc_cov_2,imu_linear_acc_cov_3,imu_linear_acc_cov_4,imu_linear_acc_cov_5,imu_linear_acc_cov_6,imu_linear_acc_cov_7,imu_linear_acc_cov_8,map_position_x,map_position_y,map_position_z,map_orientation_x,map_orientation_y,map_orientation_z,map_orientation_w,odom_pose_x,odom_pose_y,odom_pose_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_pose_cov_0,odom_pose_cov_1,odom_pose_cov_2,odom_pose_cov_3,odom_pose_cov_4,odom_pose_cov_5,odom_pose_cov_6,odom_pose_cov_7,odom_pose_cov_8,odom_pose_cov_9,odom_pose_cov_10,odom_pose_cov_11,odom_pose_cov_12,odom_pose_cov_13,odom_pose_cov_14,odom_pose_cov_15,odom_pose_cov_16,odom_pose_cov_17,odom_pose_cov_18,odom_pose_cov_19,odom_pose_cov_20,odom_pose_cov_21,odom_pose_cov_22,odom_pose_cov_23,odom_pose_cov_24,odom_pose_cov_25,odom_pose_cov_26,odom_pose_cov_27,odom_pose_cov_28,odom_pose_cov_29,odom_pose_cov_30,odom_pose_cov_31,odom_pose_cov_32,odom_pose_cov_33,odom_pose_cov_34,odom_pose_cov_35,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z,odom_twist_cov_0,odom_twist_cov_1,odom_twist_cov_2,odom_twist_cov_3,odom_twist_cov_4,odom_twist_cov_5,odom_twist_cov_6,odom_twist_cov_7,odom_twist_cov_8,odom_twist_cov_9,odom_twist_cov_10,odom_twist_cov_11,odom_twist_cov_12,odom_twist_cov_13,odom_twist_cov_14,odom_twist_cov_15,odom_twist_cov_16,odom_twist_cov_17,odom_twist_cov_18,odom_twist_cov_19,odom_twist_cov_20,odom_twist_cov_21,odom_twist_cov_22,odom_twist_cov_23,odom_twist_cov_24,odom_twist_cov_25,odom_twist_cov_26,odom_twist_cov_27,odom_twist_cov_28,odom_twist_cov_29,odom_twist_cov_30,odom_twist_cov_31,odom_twist_cov_32,odom_twist_cov_33,odom_twist_cov_34,odom_twist_cov_35,cmd_vel_linear_x,cmd_vel_linear_y,cmd_vel_linear_z,cmd_vel_angular_x,cmd_vel_angular_y,cmd_vel_angular_z
12,164,900000000,164.9,base_footprint,-0.06760731705251771,0.029965042558618354,-0.09411488471250035,1.0716869601892334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04983788390013351,-0.04683938751582897,0.018170825798479118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04546247837786342,0.005447424920284709,-0.12071170257803918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0297670825174854,0.9673705203012044,0.27374326703472734,0.0002957874895454,0.0038422083539944,-0.0780386387238881,0.996942887436812,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2067045304925019,1.3967282000808268e-05,0.0,0.0,0.0,-0.0202616333623993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3994505486271387,0.06790969038544886,0.015281074821606172,0.0,0.0,-0.0012382704298943
46,164,934000000,164.934,base_footprint,0.0016964897196591645,0.1336494216074496,-0.10862255697525514,1.0278871433002454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006434677366048773,0.013264381069676461,0.017601754749429023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961932165608729,0.07018609304652682,-0.0786743281967347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.3147017252667634,0.9477029328578838,-0.05094246670354141,0.0002911924108434,0.0038464529153412,-0.0772673528985922,0.9970029469279388,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2057930074616611,-2.283582162928427e-05,0.0,0.0,0.0,0.0593522111108802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3470238556201529,-0.039072409714896277,0.03384639229031312,0.0,0.0,-0.0012382704298943
79,164,967000000,164.967,base_footprint,-0.14649743463265627,0.06556694592336153,-0.1663777058735103,0.9410800708712119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051516691826420775,0.013165681721185122,0.06318147204912218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09377993184273838,0.22489497550976323,0.03531065735216698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.529918061907457,0.7535717630807441,0.06232018522500973,0.0002894501345105,0.0038468952457981,-0.0763170690166192,0.9970761368081678,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2055229050532337,2.6869949733519805e-06,0.0,0.0,0.0,0.0561976202910212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30998557345608724,-0.04974883324541142,-0.14273132666815827,0.0,0.0,-0.0012382704298943
112,165,0,165.0,base_footprint,-0.06760054129365227,-0.025463686108458967,-0.1370336088216962,0.980787411503507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04254480676764463,-0.005815197448752592,0.10879463552697094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46496448181616395,0.19133944075186254,-0.1942155349764282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.907121831370779,1.038045649476145,0.22324656408134969,0.0002815415279784,0.0038407740409852,-0.0755809203884532,0.9971322347925418,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2039831277002504,1.4198246962027206e-06,0.0,0.0,0.0,0.0342544877686569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3164118222756348,0.07486942930599885,-0.22745180264558562,0.0,0.0,-0.0012382704298943
146,165,34000000,165.034,base_footprint,-0.10151945687930804,0.042618920971996786,0.00559897997956485,1.0839945046702602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015354721590914224,-0.0011483578197522618,-0.09073051394558532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1644859589528242,-0.13641705611090743,-0.08343431873422484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.3985045895858343,1.1763478909469514,-0.03623990323498897,0.0002847159648527,0.0038398670542179,-0.0765563911195148,0.9970578184521603,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2134274638892576,4.7860250892102496e-05,0.0,0.0,0.0,-0.092489890418516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45193994625932055,-0.23114669158447834,0.0690422114310754,0.0,0.0,0.0
179,165,67000000,165.067,base_footprint,0.11634882970452837,-0.018475581559747312,0.06441707206416616,0.9481140935322664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02044335866898489,0.002253678127336384,-0.02958084015091124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03544561591131937,-0.2127148566062103,-0.5183521925296639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.2927008581071915,1.059674642443693,-0.2917987316126554,0.0002891094686361,0.003838822469316,-0.0776648322249341,0.9969720927354172,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2174403826859504,1.4988372269111871e-05,0.0,0.0,0.0,-0.0368213948897412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20092857296207597,0.1700010789032871,-0.024020126244133726,0.0,0.0,0.0
212,165,100000000,165.1,base_footprint,0.009667653986354602,0.012106418156992076,-0.1023473130972933,1.002663209072731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07319766612802772,0.11977974313784175,-0.06524979368498476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205975902525777,0.2661391971253971,-0.1995984050520501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.2635317928227012,1.1932884378927662,-0.04730052865804473,0.0002921545160459,0.0038419450973034,-0.0778125876363608,0.996960558552314,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2199653037621846,1.1224115648855726e-06,0.0,0.0,0.0,-0.0019447104979747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18146084990177536,0.03157110511921337,0.11435301763832072,0.0,0.0,0.0
246,165,134000000,165.134,base_footprint,-0.00031745302438551274,-0.11824173360145793,-0.11254951362811046,0.9504040866278537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051331087452666554,0.013102694541160783,0.04497478788697541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13468999759377545,-0.15480660356568432,0.16888745181020015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.507438047644474,0.8491127339955682,0.04577677273742861,0.0002920929887283,0.0038421371936971,-0.0778237015043677,0.9969596903323776,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2199997850192883,2.908364806694652e-07,0.0,0.0,0.0,-0.0008122042245083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2491649708510499,0.049725940855960084,-0.028752036532114573,0.0,0.0,0.0237039849162101
279,165,167000000,165.167,base_footprint,-0.14436905246058354,-0.02189121251744188,0.011977539314054722,1.0196628215491763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018030317630849705,0.020770012236444882,0.02021091277071421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05513079627636212,-0.004872207942133196,0.06574753511179586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.293686057971472,0.534716405656628,-0.4082217682976197,0.0002919164019201,0.0038423885177031,-0.0778357699844623,0.9969587472640076,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2200445334157687,-2.041957166479258e-07,0.0,0.0,0.0,-0.0009113999574347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14233534380899443,-0.014871212688401525,-0.06724895099318387,0.0,0.0,0.0237039849162101
312,165,200000000,165.2,base_footprint,-0.008033850367105449,0.007515827164693334,-0.10546471635082323,0.9373698883138634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07131420752371403,-0.0030973123908269408,0.04501121244207146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10760135967776052,-0.026635809305364005,-0.22087246497835988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.266705983131464,0.767396890090754,-0.0677658498094327,0.0002917072632213,0.0038428884014782,-0.0778492229927606,0.9969576949876208,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2200878840411781,-8.344592858922084e-07,0.0,0.0,0.0,-0.0009725109900436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24927606521290696,0.13098542300956628,-0.02511373196165122,0.0,0.0,0.0237039849162101
