,imu_seq,secs,nsecs,timestamp,imu_frame_id,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,imu_orientation_cov_0,imu_orientation_cov_1,imu_orientation_cov_2,imu_orientation_cov_3,imu_orientation_cov_4,imu_orientation_cov_5,imu_orientation_cov_6,imu_orientation_cov_7,imu_orientation_cov_8,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,imu_angular_vel_cov_0,imu_angular_vel_cov_1,imu_angular_vel_cov_2,imu_angular_vel_cov_3,imu_angular_vel_cov_4,imu_angular_vel_cov_5,imu_angular_vel_cov_6,imu_angular_vel_cov_7,imu_angular_vel_cov_8,imu_linear_acc_x,imu_linear_acc_y,imu_linear_acc_z,imu_linear_acc_cov_0,imu_linear_acc_cov_1,imu_linear_acc_cov_2,imu_linear_acc_cov_3,imu_linear_acc_cov_4,imu_linear_acc_cov_5,imu_linear_acc_cov_6,imu_linear_acc_cov_7,imu_linear_acc_cov_8,map_position_x,map_position_y,map_position_z,map_orientation_x,map_orientation_y,map_orientation_z,map_orientation_w,odom_pose_x,odom_pose_y,odom_pose_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_pose_cov_0,odom_pose_cov_1,odom_pose_cov_2,odom_pose_cov_3,odom_pose_cov_4,odom_pose_cov_5,odom_pose_cov_6,odom_pose_cov_7,odom_pose_cov_8,odom_pose_cov_9,odom_pose_cov_10,odom_pose_cov_11,odom_pose_cov_12,odom_pose_cov_13,odom_pose_cov_14,odom_pose_cov_15,odom_pose_cov_16,odom_pose_cov_17,odom_pose_cov_18,odom_pose_cov_19,odom_pose_cov_20,odom_pose_cov_21,odom_pose_cov_22,odom_pose_cov_23,odom_pose_cov_24,odom_pose_cov_25,odom_pose_cov_26,odom_pose_cov_27,odom_pose_cov_28,odom_pose_cov_29,odom_pose_cov_30,odom_pose_cov_31,odom_pose_cov_32,odom_pose_cov_33,odom_pose_cov_34,odom_pose_cov_35,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z,odom_twist_cov_0,odom_twist_cov_1,odom_twist_cov_2,odom_twist_cov_3,odom_twist_cov_4,odom_twist_cov_5,odom_twist_cov_6,odom_twist_cov_7,odom_twist_cov_8,odom_twist_cov_9,odom_twist_cov_10,odom_twist_cov_11,odom_twist_cov_12,odom_twist_cov_13,odom_twist_cov_14,odom_twist_cov_15,odom_twist_cov_16,odom_twist_cov_17,odom_twist_cov_18,odom_twist_cov_19,odom_twist_cov_20,odom_twist_cov_21,odom_twist_cov_22,odom_twist_cov_23,odom_twist_cov_24,odom_twist_cov_25,odom_twist_cov_26,odom_twist_cov_27,odom_twist_cov_28,odom_twist_cov_29,odom_twist_cov_30,odom_twist_cov_31,odom_twist_cov_32,odom_twist_cov_33,odom_twist_cov_34,odom_twist_cov_35,cmd_vel_linear_x,cmd_vel_linear_y,cmd_vel_linear_z,cmd_vel_angular_x,cmd_vel_angular_y,cmd_vel_angular_z,odom_vel_x,odom_vel_y,odom_vel_z,imu_angular_vel_noisy_x,imu_angular_vel_noisy_y,imu_angular_vel_noisy_z,imu_linear_acc_noisy_x,imu_linear_acc_noisy_y,imu_linear_acc_noisy_z,odom_pose_noisy_x,odom_pose_noisy_y,odom_pose_noisy_z,odom_vel_noisy_x,odom_vel_noisy_y,odom_vel_noisy_z,odom_orientation_noisy_x,odom_orientation_noisy_y,odom_orientation_noisy_z,odom_orientation_noisy_w
0,12,164,900000000,164.9,base_footprint,0.000295609282917,0.0038424085755849,-0.078028413959821,0.996943687038744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114862144181753e-05,-0.0007949956586276,-0.0193046807332327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657289748448189,-0.0273709418399911,-0.0154344043400124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.450377971977103,0.9538806476389784,-0.0010014723676633,0.0002957874895454,0.0038422083539944,-0.0780386387238881,0.996942887436812,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2067045304925019,1.3967282000808268e-05,0.0,0.0,0.0,-0.0202616333623993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943,0.21731430857782402,-0.03422887445903726,-0.0016955598806381643,4.114862144181753e-05,-0.0007949956586276,0.042125737512279965,-0.03615276459387082,0.02691672269140187,-0.0154344043400124,-2.5529412698440734,0.9746948498573718,-0.0010014723676633,-0.009510796488948009,0.06423628653267431,-0.0016955598806381643,0.0006472851520791511,0.0037988257667828924,-0.16923675329574847,0.9855678927799137
1,46,164,934000000,164.934,base_footprint,0.000291412205675,0.0038464961475625,-0.0772968076983864,0.9970006635233258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001415895605498,8.103893094645838e-06,0.0590625469050328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0121154790196225,0.0164212872102494,0.0112022418323104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4434616812478316,0.9527948012866438,-0.0010019210218671,0.0002911924108434,0.0038464529153412,-0.0772673528985922,0.9970029469279388,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2057930074616611,-2.283582162928427e-05,0.0,0.0,0.0,0.0593522111108802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943,0.21736699564714615,-0.03389259463847872,-0.0016972668335833204,0.0001415895605498,8.103893094645838e-06,0.036620471515153186,0.016716125137553474,0.1656923433535611,0.0112022418323104,-2.624240220442478,0.7462992515272304,-0.0010019210218671,0.34536741359127354,-0.04725082094509904,-0.0016972668335833204,0.00037172229904081485,0.0038395072056794893,-0.09814035615905044,0.9951651071555536
2,79,164,967000000,164.967,base_footprint,0.0002895043019752,0.0038468322837114,-0.0763449914236175,0.9970739994369364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005954434292204,-6.19486010988177e-05,0.0564552051673904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0099163825887981,0.0171448305279563,-0.000418176102437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.43675605566205,0.9517553006520334,-0.0010019487255095,0.0002894501345105,0.0038468952457981,-0.0763170690166192,0.9970761368081678,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2055229050532337,2.6869949733519805e-06,0.0,0.0,0.0,0.0561976202910212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943,0.21743120656024234,-0.03347818266356802,-0.0016974044895271172,0.0005954434292204,-6.19486010988177e-05,0.0050000354315443835,-0.07303652399656754,-0.15598135900946095,-0.000418176102437,-2.40507290073934,0.9552298223839439,-0.0010019487255095,0.31055928559638674,-0.15584746601579558,-0.0016974044895271172,6.030754835577591e-05,0.0038572979418401857,-0.01692335202422518,0.9998493475378436
3,112,165,0,165.0,base_footprint,0.0002817174135106,0.0038409164822818,-0.075597917684529,0.9971309456824808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000283832502563,-0.0006247983692862,0.0345906317088329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0202498432259387,0.0127040919822043,-0.0058090346823292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4300773982125117,0.9507324609433055,-0.0010011963322405,0.0002815415279784,0.0038407740409852,-0.0755809203884532,0.9971322347925418,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2039831277002504,1.4198246962027206e-06,0.0,0.0,0.0,0.0342544877686569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,2.6869950033869827e-06,0.0,0.0,0.0,-0.0012382704298943,0.21748042392200068,-0.033157103440107666,-0.001694457101245932,-0.000283832502563,-0.0006247983692862,0.18854398472678294,-0.04717439237688709,0.030938766592747205,-0.0058090346823292,-2.6632041984622865,0.8039118234738436,-0.0010011963322405,0.5565995531801744,-0.053085836585680155,-0.001694457101245932,0.000634570775588331,0.0037984379416612993,-0.167222895070097,0.985911594694732
4,146,165,34000000,165.034,base_footprint,0.000284499725886,0.0038402987114614,-0.0765102021735431,0.9970613622686804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008628252153716,-0.0008281318739377,-0.0936411701583982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676579804455996,-0.0440203586848924,0.0132321176927473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.423024422685775,0.949654046452974,-0.0010011226925007,0.0002847159648527,0.0038398670542179,-0.0765563911195148,0.9970578184521603,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2134274638892576,4.7860250892102496e-05,0.0,0.0,0.0,-0.092489890418516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,1.4988372640800662e-05,0.0,0.0,0.0,0.0,0.2174170117499738,-0.0335704113585075,-0.0016941614630227183,-0.0008628252153716,-0.0008281318739377,-0.12104720581307923,0.11899070602014264,0.14400934851064845,0.0132321176927473,-2.6040924505934813,1.325423180303634,-0.0010011226925007,0.5615204982871187,-0.05138846494981318,-0.0016941614630227183,0.00022749309858391317,0.00384368170701046,-0.0616976409591256,0.9980874588220735
5,179,165,67000000,165.067,base_footprint,0.000289031432955,0.0038388364734603,-0.0776464239373498,0.9969735265517848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002674131212293,-0.0001509436256321,-0.0390774551033115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148276489355384,-0.0577099664841712,-0.0015965341713128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4160053626181774,0.9485614465747124,-0.001001070980954,0.0002891094686361,0.003838822469316,-0.0776648322249341,0.9969720927354172,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2174403826859504,1.4988372269111871e-05,0.0,0.0,0.0,-0.0368213948897412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,1.4988372640800662e-05,0.0,0.0,0.0,0.0,0.2173418323472066,-0.034053758868915096,-0.00169384739188424,-0.0002674131212293,-0.0001509436256321,-0.09683092606724641,0.1700006798657796,-0.0007094625949609981,-0.0015965341713128,-2.794400579897877,1.2217039452282326,-0.001001070980954,0.1312224207069358,-0.2424420446887262,-0.00169384739188424,0.0001715657987053084,0.003845868876144422,-0.04713661833145049,0.9988810334919966
6,212,165,100000000,165.1,base_footprint,0.0002921461037814,0.0038418705994749,-0.0778116660896428,0.9969606307679882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793645019947936e-05,-7.252579954630961e-05,-0.0019792300331298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049198449765005,-0.0019958352259123,-0.0042201517373081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.40885141963819,0.9474383566623084,-0.0010014029731133,0.0002921545160459,0.0038419450973034,-0.0778125876363608,0.996960558552314,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2199653037621846,1.1224115648855726e-06,0.0,0.0,0.0,-0.0019447104979747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,1.4988372640800662e-05,0.0,0.0,0.0,0.0,0.2173317182262496,-0.03411817464005002,-0.0016953206739577806,7.793645019947936e-05,-7.252579954630961e-05,-0.09688364193497848,-0.133525792232389,0.11927759864478865,-0.0042201517373081,-2.6063346900029996,1.0297551238050113,-0.0010014029731133,0.6766806018203323,0.2909839524022309,-0.0016953206739577806,0.0003199655745856423,0.0038397289517646464,-0.08502932975215842,0.9963709987677816
7,246,165,134000000,165.134,base_footprint,0.0002920976719683,0.0038421335975633,-0.0778233564657982,0.9969597172788708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96775225718936e-05,-0.0001632126807834,-0.0008098259849325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012381588309895,-0.0005697958825586,-4.580366748977767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.401462685101302,0.946277824045194,-0.0010014198045373,0.0002920929887283,0.0038421371936971,-0.0778237015043677,0.9969596903323776,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2199997850192883,2.908364806694652e-07,0.0,0.0,0.0,-0.0008122042245083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.0,0.0,0.0237039849162101,0.21732863098739752,-0.034137827095050845,-0.0016954025631532796,4.96775225718936e-05,-0.0001632126807834,-0.0021100301787749833,0.022847965920450138,-0.11059017128782976,-4.580366748977767e-05,-2.4088795472967384,1.0167482799129843,-0.0010014198045373,-0.2547935848426575,-0.25593477411602295,-0.0016954025631532796,0.000609568736321486,0.003804702680230751,-0.1601954776107696,0.9870777890402196
8,279,165,167000000,165.167,base_footprint,0.0002919235525173,0.0038423772330538,-0.0778353847961724,0.9969587773782176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213194903114077e-05,-0.0001551742514588,-0.0009090708972844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001266809020033,-0.0007118677603442,0.0002127022616057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.3942900222509875,0.945151058533774,-0.0010014553510578,0.0002919164019201,0.0038423885177031,-0.0778357699844623,0.9969587472640076,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2200445334157687,-2.041957166479258e-07,0.0,0.0,0.0,-0.0009113999574347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.0,0.0,0.0237039849162101,0.21732780356540488,-0.03414308905010769,-0.0016955067184639115,2.213194903114077e-05,-0.0001551742514588,-0.006526289135874991,0.1360339134257413,0.14259026573399902,0.0002127022616057,-2.459443485408311,0.6225692825349762,-0.0010014553510578,0.22852941395136384,-0.4000012346960788,-0.0016955067184639115,0.00021601188857184978,0.0038474021846803875,-0.05814092755548774,0.9983009483008021
9,312,165,200000000,165.2,base_footprint,0.0002917112203982,0.0038428713791285,-0.0778487914322836,0.9969577287511544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.759931060286438e-05,-9.959539132369946e-05,-0.0009697221865308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014689094303712,-0.000698940510146,7.434199163535354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.3871160988913473,0.9440239058356816,-0.0010015226987377,0.0002917072632213,0.0038428884014782,-0.0778492229927606,0.9969576949876208,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2200878840411781,-8.344592858922084e-07,0.0,0.0,0.0,-0.0009725109900436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.0,0.0,0.0237039849162101,0.21732688032518088,-0.03414895461667217,-0.0016957187833223876,-8.759931060286438e-05,-9.959539132369946e-05,-0.06558248717830276,0.013212960452484485,-0.005850248126682625,7.434199163535354e-05,-2.3744364411262278,1.1197330461414856,-0.0010015226987377,-0.13956285780955396,-0.11666603982496039,-0.0016957187833223876,0.00026529590706486135,0.0038448020072984973,-0.0709972931373542,0.9974690629201364
